Comment,Designator,Footprint,LCSC
100nF,"C1,C2,C3,C4",C_0402_1005Metric,C1525
Conn_01x03,J1,Molex_Pico-EZmate_78171-0003_1x03-1MP_P1.20mm_Vertical,C528029
MountingHole_Pad,H1,MountingHole_3.2mm_M3_Pad,
MountingHole_Pad,H2,MountingHole_3.2mm_M3_Pad,
D_Small,D9,D_SOD-123,
D_Small,D5,D_SOD-123,
1uF,C11,C_0402_1005Metric,
D_Small,D2,D_SOD-123,
D_Small,D12,D_SOD-123,
D_Small,D4,D_SOD-123,
D_Small,D11,D_SOD-123,
4.7uF,C12,C_0402_1005Metric,
D_Small,D6,D_SOD-123,
D_Small,D16,D_SOD-123,
D_Small,D15,D_SOD-123,
D_Small,D8,D_SOD-123,
4.7uF,C7,C_0402_1005Metric,
D_Small,D1,D_SOD-123,
D_Small,D3,D_SOD-123,
D_Small,D10,D_SOD-123,
10nF,C5,C_0402_1005Metric,
4.7uF,C6,C_0402_1005Metric,
1uF,C9,C_0402_1005Metric,
D_Small,D7,D_SOD-123,
1uF,C8,C_0402_1005Metric,
1uF,C10,C_0402_1005Metric,
D_Small,D13,D_SOD-123,
D_Small,D14,D_SOD-123,
Conn_01x03,J4,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,
MX_SW_solder,SW71,SW_MX_1u,
MX_SW_solder,SW12,SW_MX_1u,
MX_SW_solder,SW26,SW_MX_1u,
MX_SW_solder,SW76,SW_MX_1u,
MX_SW_solder,SW21,SW_MX_1u,
MX_SW_solder,SW24,SW_MX_1u,
MX_SW_solder,SW25,SW_MX_1u,
MX_SW_solder,SW60,SW_MX_1u,
MX_SW_solder,SW83,SW_MX_1u,
MX_SW_solder,SW74,SW_MX_1u,
MX_SW_solder,SW9,SW_MX_1u,
MX_SW_solder,SW32,SW_MX_1u,
MX_SW_solder,SW53,SW_MX_1.75u,
MX_SW_solder,SW90,SW_MX_1u,
MX_SW_solder,SW65,SW_MX_1u,
MX_SW_solder,SW84,SW_MX_1.5u,
MX_SW_solder,SW39,SW_MX_1u,
MX_SW_solder,SW86,SW_MX_1.5u,
MX_SW_solder,SW63,SW_MX_1u,
MX_SW_solder,SW35,SW_MX_1.5u,
MX_SW_solder,SW15,SW_MX_1u,
Jumper_2_Open,JP1,TestPoint_2Pads_Pitch5.08mm_Drill1.3mm,
MX_SW_solder,SW47,SW_MX_1u,
MX_stab,S4,STAB_MX_2.25u,
MX_SW_solder,SW41,SW_MX_1u,
MX_SW_solder,SW62,SW_MX_1u,
MX_SW_solder,SW89,SW_MX_1u,
MX_SW_solder,SW49,SW_MX_1u,
