Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,30.226,-21.742,0.0,top
C2,100nF,C_0402_1005Metric,33.274,-21.742,0.0,top
C3,100nF,C_0402_1005Metric,36.322,-21.742,0.0,top
C4,100nF,C_0402_1005Metric,39.37,-21.742,0.0,top
C5,100nF,C_0402_1005Metric,42.418,-21.742,0.0,top
C6,100nF,C_0402_1005Metric,45.466,-21.742,0.0,top
C7,100nF,C_0402_1005Metric,48.514,-21.742,0.0,top
C8,100nF,C_0402_1005Metric,51.562,-21.742,0.0,top
C9,100nF,C_0402_1005Metric,54.61,-21.742,0.0,top
C10,100nF,C_0402_1005Metric,57.658,-21.742,0.0,top
C11,100nF,C_0402_1005Metric,60.706,-21.742,0.0,top
C12,100nF,C_0402_1005Metric,63.754,-21.742,0.0,top
C13,100nF,C_0402_1005Metric,66.802,-21.742,0.0,top
C14,100nF,C_0402_1005Metric,69.85,-21.742,0.0,top
C15,100nF,C_0402_1005Metric,72.898,-21.742,0.0,top
C16,100nF,C_0402_1005Metric,75.946,-21.742,0.0,top
D1,WS2812_2020,LED_WS2812_2020,30.226,-23.749,90.0,top
D2,WS2812_2020,LED_WS2812_2020,33.274,-23.749,90.0,top
D3,WS2812_2020,LED_WS2812_2020,36.322,-23.749,90.0,top
D4,WS2812_2020,LED_WS2812_2020,39.37,-23.749,90.0,top
D5,WS2812_2020,LED_WS2812_2020,42.418,-23.749,90.0,top
D6,WS2812_2020,LED_WS2812_2020,45.466,-23.749,90.0,top
D7,WS2812_2020,LED_WS2812_2020,48.514,-23.749,90.0,top
D8,WS2812_2020,LED_WS2812_2020,51.562,-23.749,90.0,top
D9,WS2812_2020,LED_WS2812_2020,54.61,-23.749,90.0,top
D10,WS2812_2020,LED_WS2812_2020,57.658,-23.749,90.0,top
D11,WS2812_2020,LED_WS2812_2020,60.706,-23.749,90.0,top
D12,WS2812_2020,LED_WS2812_2020,63.754,-23.749,90.0,top
D13,WS2812_2020,LED_WS2812_2020,66.802,-23.749,90.0,top
D14,WS2812_2020,LED_WS2812_2020,69.85,-23.749,90.0,top
D15,WS2812_2020,LED_WS2812_2020,72.898,-23.749,90.0,top
D16,WS2812_2020,LED_WS2812_2020,75.946,-23.749,90.0,top
J1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,24.526,-33.528,-90.0,top
