Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,326.082666,-78.902334,90.0,bottom
C2,100nF,C_0402_1005Metric,315.287666,-78.902334,90.0,bottom
C3,100nF,C_0402_1005Metric,316.303666,-78.902334,90.0,bottom
C4,100nF,C_0402_1005Metric,325.955666,-88.582334,270.0,bottom
C5,10nF,C_0402_1005Metric,319.351666,-91.249334,270.0,bottom
C6,4.7uF,C_0402_1005Metric,325.066666,-78.902334,90.0,bottom
C7,4.7uF,C_0402_1005Metric,324.939666,-88.582334,270.0,bottom
C8,1uF,C_0402_1005Metric,318.335666,-91.249334,270.0,bottom
C9,1uF,C_0402_1005Metric,311.604666,-80.708334,180.0,bottom
C10,1uF,C_0402_1005Metric,313.636666,-80.708334,0.0,bottom
C11,1uF,C_0402_1005Metric,337.312,-90.932,0.0,bottom
C12,4.7uF,C_0402_1005Metric,344.583,-86.931334,0.0,bottom
C13,100nF,C_0402_1005Metric,342.592666,-108.521334,0.0,bottom
D1,D_Small,D_SOD-123,27.003789,-24.261476,90.0,bottom
D2,D_Small,D_SOD-123,65.044208,-24.266323,90.0,bottom
D3,D_Small,D_SOD-123,84.064208,-24.266323,90.0,bottom
D4,D_Small,D_SOD-123,103.084208,-24.266323,90.0,bottom
D5,D_Small,D_SOD-123,122.104208,-24.266323,90.0,bottom
D6,D_Small,D_SOD-123,150.633789,-24.261476,90.0,bottom
D7,D_Small,D_SOD-123,169.653789,-24.261476,90.0,bottom
D8,D_Small,D_SOD-123,188.673789,-24.261476,90.0,bottom
D9,D_Small,D_SOD-123,207.693789,-24.261476,90.0,bottom
D10,D_Small,D_SOD-123,236.253789,-24.259476,90.0,bottom
D11,D_Small,D_SOD-123,255.243789,-24.259476,90.0,bottom
D12,D_Small,D_SOD-123,274.293789,-24.259476,90.0,bottom
D13,D_Small,D_SOD-123,293.313789,-24.259476,90.0,bottom
D14,D_Small,D_SOD-123,317.093789,-24.259476,90.0,bottom
D15,D_Small,D_SOD-123,336.113789,-24.256017,90.0,bottom
D16,D_Small,D_SOD-123,355.133789,-24.259476,90.0,bottom
D17,D_Small,D_SOD-123,27.003789,-48.039476,90.0,bottom
D18,D_Small,D_SOD-123,46.023789,-48.039476,90.0,bottom
D19,D_Small,D_SOD-123,65.043789,-48.039476,90.0,bottom
D20,D_Small,D_SOD-123,84.063789,-48.039476,90.0,bottom
D21,D_Small,D_SOD-123,103.083789,-48.039476,90.0,bottom
D22,D_Small,D_SOD-123,122.103789,-48.039476,90.0,bottom
D23,D_Small,D_SOD-123,141.123789,-48.039476,90.0,bottom
D24,D_Small,D_SOD-123,160.143789,-48.039476,90.0,bottom
D25,D_Small,D_SOD-123,179.163789,-48.039476,90.0,bottom
D26,D_Small,D_SOD-123,198.183789,-48.039476,90.0,bottom
D27,D_Small,D_SOD-123,217.203789,-48.039476,90.0,bottom
D28,D_Small,D_SOD-123,236.223789,-48.039476,90.0,bottom
D29,D_Small,D_SOD-123,255.243789,-48.039476,90.0,bottom
D30,D_Small,D_SOD-123,263.471666,-48.041476,90.0,bottom
D31,D_Small,D_SOD-123,317.093789,-48.039476,90.0,bottom
D32,D_Small,D_SOD-123,336.113789,-48.039476,90.0,bottom
D33,D_Small,D_SOD-123,355.133789,-48.039476,90.0,bottom
D34,D_Small,D_SOD-123,31.733789,-67.061476,90.0,bottom
D35,D_Small,D_SOD-123,55.483789,-67.059476,90.0,bottom
D36,D_Small,D_SOD-123,74.503789,-67.059476,90.0,bottom
D37,D_Small,D_SOD-123,93.523789,-67.059476,90.0,bottom
D38,D_Small,D_SOD-123,112.543789,-67.059476,90.0,bottom
D39,D_Small,D_SOD-123,131.563789,-67.059476,90.0,bottom
D40,D_Small,D_SOD-123,150.583789,-67.059476,90.0,bottom
D41,D_Small,D_SOD-123,169.603789,-67.059476,90.0,bottom
D42,D_Small,D_SOD-123,188.623789,-67.059476,90.0,bottom
D43,D_Small,D_SOD-123,207.643789,-67.059476,90.0,bottom
D44,D_Small,D_SOD-123,226.663789,-67.059476,90.0,bottom
D45,D_Small,D_SOD-123,245.683789,-67.059476,90.0,bottom
D46,D_Small,D_SOD-123,264.703789,-67.059476,90.0,bottom
D47,D_Small,D_SOD-123,288.518789,-67.061476,90.0,bottom
D48,D_Small,D_SOD-123,317.093789,-67.059476,90.0,bottom
D49,D_Small,D_SOD-123,336.113789,-67.059476,90.0,bottom
D50,D_Small,D_SOD-123,355.133789,-67.059476,90.0,bottom
D51,D_Small,D_SOD-123,34.126289,-86.079476,90.0,bottom
