Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100nF,
C10,0402,1,1uF,
C11,0402,1,100nF,
C13,0402,1,100nF,C1525
C2,0402,1,100nF,
C3,0402,1,100nF,
C4,0402,1,100nF,
C5,0402,1,10nF,
C6,0402,1,4.7uF,
C7,0402,1,4.7uF,
C8,0402,1,1uF,
C9,0402,1,1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D9",D_SOD-123,88,D_Small,
F1,1206,1,500mA,
J1,Molex_Pico-EZmate_78171-0003_1x03-1MP_P1.20mm_Vertical,1,Pico EzMate,
J2,Molex-0548190589,1,USB_B_Mini,
J4,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,JST PH S3B,
R1,0402,1,10k,
R2,0402,1,220,
R3,0402,1,220,
R4,0402,1,220,
U1,SOT-23,1,XC6206PxxxMR,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8Tx,
U3,SOT-23-6-routable,1,SRV05-4,
U4,SOT-23-5,1,74AHCT1G125,
